Judul,Tanggal,Link,Berita,Label
KPAD soal 3 Bocah Diperkosa: Bogor Harus Terapkan 'Darurat Kekerasan Anak',"Rabu, 01 Feb 2023 13:38",https://news.detik.com/berita/d-6545576/kpad-soal-3-bocah-diperkosa-bogor-harus-terapkan-darurat-kekerasan-anak,"KPAD soal 3 Bocah Diperkosa: Bogor Harus Terapkan 'Darurat Kekerasan Anak'. Komisi Perlindungan Anak Daerah (KPAD) Kabupaten Bogor menilai sudah saatnya pemerintah Bogor menerapkan status darurat kekerasan anak. KPAD Bogor menyebut sudah banyak kejadian dengan korban anak-anak, termasuk kasus pemerkosaan tiga anak di Megamendung, Bogor, Jawa Barat (Jabar). ""Karena ini sudah terjadi berbagai kasus terhadap anak-anak, pemerintah harus menerapkan status darurat kekerasan anak dengan indikator yang jelas dan terukur,"" kata Sekretaris KPAD Kabupaten Bogor Erwin Suryana kepada wartawan, Rabu (1/2/2023).Erwin meminta polisi memproses tegas pelaku kriminal dengan korban anak. Erwin menjelaskan kejahatan yang dialami anak akan berdampak hingga masa depan si anak. ""Kami minta pihak kepolisian memproses hukum pelaku dengan sanksi berat. Hal ini tidak bisa kita tolerir dengan alasan apa pun juga. Sebab, menyangkut masa depan anak anak, terutama para korban,"" ungkapnya. Selain itu, Erwin meminta semua pihak terlibat aktif mencegah hal serupa terulang, termasuk pengawasan orang tua agar lebih diperketat. ""Para korban jelas akan menjadi trauma dan perlu penanganan medis, baik fisik maupun psikis, dan itu harus dilakukan dengan bantuan pemerintah daerah dalam rangka mengutamakan kepentingan terbaik untuk anak. Kami akan terus mengawal kasus ini terutama pemulihan kesehatan korban,"" terangnya.Sebelumnya diberitakan, polisi mengungkapkan modus penjaga warung berinisial HL memperkosa tiga anak di kawasan Megamendung, Kabupaten Bogor, Jawa Barat. Pelaku mengiming-imingi korban dengan sejumlah uang. ""Kalau yang pertama korban usia 10 tahun, itu Tersangka mengiming-imingi korban dengan uang. Kemudian minta korban mengikuti pelaku ke gudang,"" kata Kasat Reskrim Polres Bogor AKP Yohannes Redhoi Sigiro saat dihubungi.",Orang asing
"Ungkap Kasus Kekerasan Pelajar di Sukabumi, 24 Polisi Raih Penghargaan","Selasa, 03 Sep 2024 11:30",https://www.detik.com/jabar/jabar-gaskeun/d-7521606/ungkap-kasus-kekerasan-pelajar-di-sukabumi-24-polisi-raih-penghargaan,"Ungkap Kasus Kekerasan Pelajar di Sukabumi, 24 Polisi Raih Penghargaan. Sebanyak 24 orang personel Satuan Reserse dan Kriminal (Satreskrim) dan Polsek Cicurug, Resor Sukabumi diganjar penghargaan oleh Kapolres Sukabumi, AKBP Samian usai mengungkap cepat kasus tewasnya GP seorang pelajar SMP yang tewas dibacok oleh dua pelajar dari sekolah lain.Diketahui, polisi hanya butuh 8 jam memproses, mengungkap dan menangkap pelaku dalam kejadian yang diketahui terjadi pada Rabu (28/8/2024) lalu, sekitar pukul 14:30 WIB di Kampung Cicewol, Desa Mekarsari, Kecamatan Cicurug, Kabupaten Sukabumi.  ""Saya ingin mengucapkan apresiasi yang setinggi-tingginya kepada para personel yang telah menunjukkan dedikasi dan kerja keras dalam tugas mereka, terutama dalam pengungkapan kasus kekerasan terhadap anak. Penghargaan ini adalah bentuk pengakuan atas kinerja luar biasa dari anggota kita,"" kata Kapolres Sukabumi AKBP Samian dalam keterangan yang diterima detikJabar, Selasa (3/9/2024). Penghargaan itu diberikan di Lapangan Mako Polres Sukabumi. Para penerima adalah anggota Sat Reskrim Polres Sukabumi dan Bhabinkamtibmas Polsek Cicurug. ""Semoga penghargaan ini menjadi motivasi bagi kita semua untuk terus memberikan pelayanan terbaik kepada masyarakat dengan integritas dan profesionalisme yang tinggi,"" ujar Samian. Kasat Reskrim Polres Sukabumi, AKP Ali Jupri, salah satu penerima penghargaan mengatakan penghargaan tersebut adalah hasil kerja keras dan kolaborasi antara pihaknya dengan personel Polsek Cicurug. ""Saya sangat berterima kasih atas penghargaan yang diberikan oleh Kapolres Sukabumi. Penghargaan ini bukan hanya milik saya, tetapi juga milik seluruh tim yang telah bekerja keras dalam mengungkap kasus kekerasan terhadap anak. Ini adalah hasil dari kerja keras dan kolaborasi yang solid di antara anggota Sat Reskrim Polres Sukabumi dan Bhabinkamtibmas Polsek Cicurug,"" beber Ali. ""Penghargaan ini menjadi motivasi bagi kami untuk terus berupaya lebih baik lagi dalam melindungi anak-anak dan masyarakat dari berbagai bentuk kekerasan. Kami berkomitmen untuk selalu bekerja dengan integritas, profesionalisme, dan dedikasi tinggi. Semoga dengan penghargaan ini, masyarakat dapat semakin percaya dan mendukung tugas-tugas kepolisian dalam menciptakan lingkungan yang aman dan nyaman,"" tambah Ali.Diberitakan pelajar SMP Negeri berinisial GP (15) tewas setelah diduga dibacok pelajar lain saat dalam perjalanan sepulang sekolah. Berdasarkan informasi yang dihimpun detikJabar, peristiwa itu terjadi di Kampung Cicewol, Desa Mekarsari, Kecamatan Cicurug, Kabupaten Sukabumi pada Rabu (28/8/2024) pukul 14:30 WIB. Riki alias Kotin selaku paman korban mengatakan, peristiwa itu bermula saat korban dalam perjalanan pulang dari sekolah. Korban dibacok di lokasi yang tak jauh dari tempat tinggalnya dengan jaraknya sekitar 200 meter. ""Saya mendengar kejadian pengeroyokan tersebut dari pihak keluarga. Korban baru saja pulang sekolah dari SMPN 1 Cicurug, sedang jalan kaki ke arah ke rumah, kurang lebih sekitar 200 meter dari lokasi kejadian,"" kata Riki saat dikonfirmasi detikJabar.",Teman
5 Fakta Aksi Sadis Ayah di Cianjur Aniaya Anak gegara Cemburu,"Jumat, 30 Agu 2024 09:30",https://www.detik.com/jabar/hukum-dan-kriminal/d-7515295/5-fakta-aksi-sadis-ayah-di-cianjur-aniaya-anak-gegara-cemburu,"5 Fakta Aksi Sadis Ayah di Cianjur Aniaya Anak gegara Cemburu. Seorang ayah berinisial CS (34) di Kabupaten Cianjur, Jawa Barat tega menganiaya anaknya sendiri yang masih belia. Perbuatan kejam pelaku dipicu kekesalannya kepada sang istri. Aksi itu juga viral di sosial media. Dalam video yang beredar, terlihat pelaku awalnya bercanda dengan salah seorang anak perempuannya. Sang anak pun tampak tertawa riang. Namun kemudian dalam dua video lainnya, tampak CS melakukan tindak kekerasan terhadap anak-anaknya. Tindak kekerasan tersebut berupa mencekik sang anak, hingga mengangkat anaknya dengan satu tangan sehingga korban menggelantung kesakitan.Anak-anak yang masih satu hingga tiga tahun itupun menangis kesakitan akibat ulah pelaku. Terlebih setelah pelaku juga menjatuhkan korban ke lantai. Kasatreskrim Polres Cianjur AKP Tono Listianto, mengatakan, video dari pelaku dikirim ke ibu korban pada saudaranya. Pihak keluarga pun kemudian melaporkan tindakan pelaku pada kepolisian. ""Aksi kekerasan yang direkam oleh pelaku dikirimkan ke istrinya yang sedang bekerja di luar negeri,"" ujar Tono Listianto, Kamis (29/8/2024). Tono menyebut, setelah mendapat laporan, polisi bergerak cepat untuk menangkap pelaku. Saat ini pelaku telah diamankan untuk dimintai keterangan. ""Setelah mendapatkan laporan dari paman korban beberapa hari lalu, kami langsung terjunkan tim untuk menangkap pelaku. Saat ini CS sudah kami amankan di Mapolres Cianjur,"" ujarnya. Dari hasil pemeriksaan diketahui jika pelaku melakukan aksi tersebut lantaran terbakar api cemburu. CS menduga jika sang istri berselingkuh selama bekerja di luar negeri. ""Motifnya karena cemburu, pelaku menuduh istrinya punya pria simpanan lain yang belum terbukti kebenarannya,"" kata dia. Sementara ketiga anak pelaku saat ini tengah menjalani pengobatan fisik dan psikis lantaran tidak hanya mengalami luka fisik tetapi juga mengalami trauma. ""Ketiga balita itu dalam pendampingan khusus petugas dan sekarang diasuh oleh paman korban,"" kata dia .Atas perbuatannya, pelaku dijerat dengan pasal 44 Undang-undang nomor 23 tahun 2004 tentang Penghapusan Kekerasan dalam Rumah Tangga dengan ancaman hukuman 9 tahun penjara.",Keluarga
Ayah di Pati Diduga Perkosa Anak Tiri,"Kamis, 01 Agu 2024 12:45",https://www.detik.com/jateng/hukum-dan-kriminal/d-7468154/ayah-di-pati-diduga-perkosa-anak-tiri,"Ayah di Pati Diduga Perkosa Anak Tiri. Seorang ayah di Kabupaten Pati, Jawa Tengah, diamankan polisi. Ayah tersebut diduga melakukan pemerkosaan terhadap anak tirinya.Video pengamanan ayah tiri tersebut ramai di media sosial. Pria itu tampak dikelilingi polisi. Beberapa warga tampak emosi melakukan pemukulan terhadap pria dalam video tersebut.Saat dimintai konfirmasi, Kasi Humas Polresta Pati Ipda Muji Sutrisna membenarkan adanya pengamanan seorang pelaku pemerkosaan terhadap anak tirinya sendiri. Pelaku diamankan pada Rabu (31/7) kemarin. ""Kejadian itu viral, itu sudah laporan ke Polresta Pati,"" kata Muji saat dihubungi lewat sambungan telepon, Kamis (1/8/2024). Dia mengatakan ayah tiri tersebut diamankan polisi untuk pemeriksaan lebih lanjut. Kasus tersebut kini didalami oleh Unit Perlindungan Perempuan dan Anak (PPA) Polresta Pati. ""Intinya diamankan karena diduga mencabuli anak tirinya,"" kata dia. ""Saat ini sedang ditangani oleh PPA Polresta Pati,"" Muji melanjutkan.Terpisah, Camat setempat, inisial A mengonfirmasi ada warganya yang menjadi korban tindakan asusila oleh ayah tirinya. Korban masih di bawah umur. Awalnya korban bersama ibunya melaporkan ke desa setempat. Setelah itu melaporkan ke polisi. ""Yang melapor dari ibu dan anak,"" kata A.",Keluarga
Penyebar Video Syur Mirip Anak Musisi Ditangkap!,"Kamis, 01 Agu 2024 07:15",https://news.detik.com/berita/d-7467569/penyebar-video-syur-mirip-anak-musisi-ditangkap,"Penyebar Video Syur Mirip Anak Musisi Ditangkap!. Polisi mengungkap perkembangan terbaru terkait kasus penyebaran video syur mirip anak musisi. Polisi kini telah menangkap pelaku yang menyebarkan video syur tersebut. ""Penyidik Subdit Siber Ditreskrimsus Polda Metro telah berhasil mengungkap kasus sekaligus melakukan penangkapan dua orang tersangka dalam kasus pornografi,"" kata Dirkrimsus Polda Metro Jaya Kombes Ade Safri Simanjuntak dalam keterangannya, kepada wartawan, Kamis (1/8/2024).Kedua tersangka itu adalah laki-laki inisial MRS (22) dan JE (35). Keduanya ditangkap tim penyidik Subdit Siber Ditreskrimsus Polda Metro Jaya pada Selasa (30/7/2024).  Ade Safri mengatakan kedua tersangka ini menyebarkan sejumlah video porno melalui platform media sosial. Salah satu korbannya adalah anak musisi Indonesia. ""Salah satunya adalah konten video syur yang diduga mirip anak musisi,"" ucapnya. Kedua tersangka saat ini diamankan di Polda Metro Jaya. Keduanya dijerat dengan Pasal 27 ayat (1) juncto Pasal 45 ayat (1) Undang-Undang Nomor 1 Tahun 2024 tentang Perubahan Kedua atas Undang-Undang Nomor 11 Tahun 2008 tentang ITE dan/atau Pasal 4 ayat (1) juncto Pasal 29 dan/atau Pasal 7 juncto Pasal 33 Undang-Undang Nomor 44 Tahun 2008 tentang Pornografi. Dirkrimsus Polda Metro Jaya Kombes Ade Safri Simanjuntak sebelumnya mengatakan pihaknya bakal memeriksa anak musisi Indonesia terkait video bermuatan pornografi yang tersebar di media sosial. ""Akan kita undang semua untuk klarifikasi di tahap penyelidikan ini,"" kata Dirkrimsus Polda Metro Jaya Kombes Ade Safri Simanjuntak kepada wartawan, Rabu (17/7) . Ade Safri belum memerinci kapan pastinya anak musisi tersebut bakal diperiksa. Pelapor sudah menjalani pemeriksaan terkait perkara yang dilaporkan. Pihak kepolisian, lanjut Ade Safri, masih melakukan penyelidikan. Perkara tersebut dilaporkan oleh pemerhati media sosial bernama Feriyawansyah dan sudah teregister dengan nomor LP/B/3944/VII/SPKT POLDA METRO JAYA. Feri melaporkan pemilik akun terkait Pasal 27 juncto Pasal 45 ayat 1 dan/atau Pasal 4 ayat 1 juncto Pasal 29 dan/atau Pasal 7 Undang-Undang Nomor 44 Tahun 2008 tentang Pornografi.",Orang asing
Terungkap Sadisnya Ayah di Sorong Bunuh-Kubur Jasad Bayinya Dalam Rumah,"Rabu, 31 Mei  2023 09:15",https://www.detik.com/sulsel/hukum-dan-kriminal/d-6748178/terungkap-sadisnya-ayah-di-sorong-bunuh-kubur-jasad-bayinya-dalam-rumah,"Terungkap Sadisnya Ayah di Sorong Bunuh-Kubur Jasad Bayinya Dalam Rumah. Seorang ayah berinisial RS (27) di Kabupaten Sorong, Papua Barat Daya tega membunuh bayinya hingga jasadnya dikubur dalam rumah. Bayi berusia 2 tahun 7 bulan itu tewas dianiaya yang membuat tulang tengkoraknya patah.Kapolres Sorong AKBP Yohanes Agustiandru mengatakan korban tewas akibat pukulan benda tumpul di kepala. Hal ini berdasarkan hasil pemeriksaan forensik. ""Ada kekerasan benda tumpul pada kepala korban yang menyebabkan tulang tengkorak pada sambungannya,"" ungkap Yohanes kepada wartawan, Selasa (30/5/2023). Pembunuhan sadis itu terjadi di Kampung Wamenagu, Distrik Seget, Kabupaten Sorong pada Selasa (4/4). Korban juga mengalami pendarahan di otak. ""(Penyebab bayi meninggal) Adanya pendarahan pada jaringan otak,"" tambahnya. Yohanes mengatakan korban dipukul menggunakan kayu oleh pelaku. Pukulan itu mengenai kepala korban. ""Secara umum kesimpulan dokter forensik, kekerasan benda tumpul pada kepala,"" lanjut Yohanes. Kasus ini masih didalami lebih lanjut. Yohanes mengatakan ada potensi tersangka dijerat pasal tambahan jika terdapat fakta baru yang menguatkan kejahatan pelaku. Pelaku dijerat dengan pasal berlapis salah satunya dikenakan pasal 44 Ayat 3 UU Nomor 23 Tahun 2004 tentang KDRT. Pelaku juga dijerat Pasal 80 Ayat 3 dan 4 UU Nomor 35 Tahun 2014 tentang Perubahan Atas UU nomor 23 tahun 2002, juncto Pasal 76 C UU Nomor 35 Tahun 2014 tentang Perlindungan Anak. ""Kami masih terus mendalami keterangan saksi dan tersangka. Bila mengarah pada perbuatan lain yang mendahulu, kita akan kembangkan termasuk sangkaan pasalnya,"" jelasnya. Diketahui, pelaku RS tega melakukan penganiayaan karena kesal anaknya rewel. Bayi tersebut dipukul di bagian punggung. ""Saat itu anak rewel, kemudian karena kesal, bapaknya sempat mendorong di kepala, kemudian memukul memakai punggung tangan di dada anak,"" ucap Yohanes saat dikonfirmasi, Jumat (28/4).Bayi perempuannya itu pun terjatuh hingga mengembuskan napas terakhirnya. Pelaku yang panik lantas mengubur jasad bayinya di ruang tamu rumahnya. ""Karena panik sehingga ayah korban memakamkan anaknya tersebut di ruang tamu rumahnya. Di mana ayahnya menggali tanah, lalu dikubur dan ditutup lagi dengan papan kayu,"" imbuhnya. Belakangan mantan istri pelaku mencari keberadaan anaknya. Namun RS sering mencari-cari alasan. ""Terduga pelaku mengatakan anak sedang keluar ke rumah tantenya dan sebagainya. Tapi, sang mantan Istri tidak pernah ketemu,"" ungkap Yohanes. Belakangan, keluarga korban pun melaporkan pelaku ke polisi karena dianggap menghalangi istri pelaku menemui anaknya. Dari hasil interogasi terungkap pelaku membunuh anaknya hingga ditangkap pada Rabu (26/4) pagi. ""Mantan istri mendesak pelaku kemudian melaporkan ke kantor polisi. Dan pelaku diinterogasi sehingga mengakui bahwa telah melakukan kekerasan kepada anak sehingga mengakibatkan meninggal dunia,"" pungkasnya.",Keluarga
Anak Polisi di Blitar Jadi Korban Penganiayaan,"Rabu, 17 Jul 2024 14:49",https://www.detik.com/jatim/hukum-dan-kriminal/d-7443316/anak-polisi-di-blitar-jadi-korban-penganiayaan,"Anak Polisi di Blitar Jadi Korban Penganiayaan. FND (15) anak seorang anggota polisi di Blitar menjadi korban penganiayaan. Penganiayaan itu terjadi di sebuah warung internet (warnet) di Jalan Ciliwung Kota Blitar.Ayah korban, SPR (40) menyebut peristiwa penganiayaan itu terjadi sekitar akhir Januari 2024. Saat itu, FND tengah bermain play station bersama dengan rekannya. Namun, diajak salah seorang teman kemudian mengajaknya ke warnet. ""Awalnya bermain PS, kemudian diajak ke warnet oleh temannya. Nah, pas di warnet itu dilakukan penganiayaan oleh terlapor. Dipukul dua kali, yang pertama tidak kena dan yang kedua kena pukul di bagian dahi,"" terang SPR kepada wartawan, Rabu (17/7/2024). SPR mengatakan peristiwa itu langsung dialporkan ke polisi. Bahkan sempat akan dilakukan restorasi justice. Namun beberapa bulan berikutnya tidak ada itikad baik dari pihak terlapor. ""Setelah kejadian langsung kami laporkan ke polisi, dan dilakukan visum. Sebelumnya kami bersedia restorasi justice, tapi tidak ada itikad baik. Kemudian tidak juga segera diproses oleh unit PPA Polres Blitar Kota,"" jelasnya. Menurut SPR, anaknya diduga dianiaya oleh terlapor karena masalah sepele. Bermula dari adik terlapor dan korban berada dalam sekolah yang sama. Keduanya diduga berteman dekat. ""Mungkin masalah sepele yang terjadi antara anak saya dan adik terlapor. Kalau istilahnya anak saya ghosting adiknya terlapor, tetapi tidak tahu kepala anak saya dipukul,"" lanjutnya. SPR mengaku tengah menanti putusan dari majelis hakim. Sebab, kasus dugaan penganiayaan itu telah naik di meja hijau. ""Karena saya juga baru tahu ini (kasus) sudah masuk persidangan kedua, harapan kami yang terlapor bisa dihukum agar ada efek jera,"" tandas SPR.",Teman
Pemicu Senior Aniaya Santri Kediri hingga Tewas: Sejak Kecil Dapat Kekerasan,"Sabtu, 02 Mar 2024 12:12",https://news.detik.com/berita/d-7221449/pemicu-senior-aniaya-santri-kediri-hingga-tewas-sejak-kecil-dapat-kekerasan,"Pemicu Senior Aniaya Santri Kediri hingga Tewas: Sejak Kecil Dapat Kekerasan. Polisi mengungkap hasil tes kejiwaan empat santri senior tersangka penganiayaan yang menewaskan santri Ponpes Al Hanifiyah Kediri, Bintang Balqis Maulana (14). Pelaku kerap mendapatkan kekerasan fisik dan verbal dari orang tuanya sejak kecil diduga jadi pemicu keempatnya melakukan aksi keji terhadap Bintang. ""Perilaku agresi tersangka disebabkan oleh riwayat masa kecil dan pola asuh kedua orang tua tersangka yang cenderung mendapat kekerasan secara fisik dan verbal. Kemudian, kurangnya perhatian serta kasih sayang dari kedua orang tua,"" kata Kapolres Kediri Kota AKBP Bramastyo Priaji, dilansir detikJatim, Sabtu (2/3/2024). ""Kondisi di atas menjadi pemicu tindakan perilaku agresi tersangka terhadap korban, sehingga tersangka melakukan tindakan agresi seperti memukul, menendang, dan memaki korban. Hal ini dilakukan tersangka supaya korban mau mengerjakan segala tugas yang ditugaskan oleh tersangka,"" sambungnya. Tes kejiwaan ini dilakukan oleh Tim Psikologi Biro SDM Polda Jatim dan Polres Kediri Kota pada Kamis (29/2/2024). Selain itu, pihak penyidik akhirnya mendapatkan kesimpulan dari tim medis kejiwaan soal kondisi para tersangka. ""Kondisi psikologis tersangka tidak ditemukan gangguan kejiwaan. Kondisi psikologis tersangka tergolong stabil dan normal sehingga mampu menjalani proses penyidikan,"" pungkas Bramastyo. Bramastyo menambahkan, pemeriksaan psikologi ini memiliki fungsi yang sangat penting. Apalagi demi kelangsungan penyidikan kasus meninggalnya santri bernama Bintang Balqis Maulana tersebut.",Teman
Kekerasan Remaja Perempuan 'Ladies Timur' Cirebon yang Berujung Damai,"Minggu, 19 Nov 2023 16:00",https://www.detik.com/jabar/cirebon-raya/d-7044973/kekerasan-remaja-perempuan-ladies-timur-cirebon-yang-berujung-damai,"Kekerasan Remaja Perempuan 'Ladies Timur' Cirebon yang Berujung Damai. Warga Cirebon dihebohkan dengan beredarnya video kekerasan terhadap seorang remaja perempuan. Dalam video itu, korban dianiaya oleh pelaku yang juga masih seorang remaja.Dari video yang beredar, korban beberapa kali dipukuli oleh pelaku. Korban sendiri hanya bisa diam sembari melindungi kepalanya. Aksi penganiayaan itu juga direkam oleh beberapa rekan pelaku. Beberapa rekan pelaku sempat mencoba melerai, namun pelaku yang emosi tetap memukuli bahkan melontarkan kata-kata kasar kepada korban. Diketahui kekerasan itu terjadi di Kecamatan Babakan, Kabupaten Cirebon. Polisi langsung turun tangan mengusut kasus tersebut. Bahkan delapan orang yang diduga terlibat diamankan. Kasat Reskrim Polresta Cirebon Kompol Anton mengatakan, mereka yang diamankan ialah seorang pelaku, dua orang perekam dan lima saksi. ""Yang kita amankan ada pelaku satu orang, dua orang yang mengambil video, dan lima orang saksi yang melihat dan memisahkan,"" kata Anton. ""Selain delapan orang itu, korban juga kita amankan di sini untuk dilakukan penyelidikan lebih lanjut,"" kata Anton menambahkan.Menurut Anton, remaja perempuan yang menjadi korban dalam aksi kekerasan itu berinisial KD (15). Sementara pelakunya yang juga remaja perempuan berinisial KY (15). Adapun kejadiannya terjadi pada Jumat (10/11) sekitar pukul 16.00 WIB sore. Dari hasil pemeriksaan yang dilakukan, Anton mengungkap kekerasan itu dilatarbelakangi karena sakit hati kepada korban yang kerap mengejek pelaku. Keduanya diketahui merupakan teman dalam satu kelompok. ""Jadi mereka ini ada grup WA. Grup WA kelompoknya mereka. Tapi korban keluar dari grup WA. Kemudian pelaku sakit hati. Kenapa? Karena setelah korban keluar dari grup WA itu, dia ngata-ngatain pelaku,"" kata Anton. Berangkat dari rasa sakit hati itu, pelaku kemudian mengajak korban ke salah satu tempat di Kecamatan Babakan, Kabupaten Cirebon. Di lokasi itu pelaku kemudian melakukan aksi kekerasan terhadap korban. Sementara Kanit PPA Satreskrim Polresta Cirebon, Iptu Dwi Hartati menuturkan, antara pelaku dan korban merupakan remaja perempuan yang sama-sama masih berusia 15 tahun. Mereka juga merupakan teman satu kelompok yang tergabung dalam grup Whatsapp bernama Ladies Timur.""Jadi anak-anak ini memang membentuk satu grup WA yang namanya Ladies Timur,"" kata Dwi Hartati. Dwi menuturkan, aksi kekerasan berawal dari rasa sakit hati pelaku terhadap korban. Rasa sakit hati itu timbul setelah pelaku mendapat ejekan dari korban. Dari situlah pelaku kemudian menganiaya korban. ""Setelah mereka bertemu, terjadilah perbuatan kekerasan fisik tersebut. Si korban dijambak rambutnya sampai terjatuh. Kemudian korban juga dipukul dengan tangan kosong dan ditendang pada bagian paha,"" ucap Dwi. Setelah ditangani, kasus kekerasan ini berakhir damai. Kedua belah pihak menyatakan sepakat untuk menyelesaikan masalah tersebut secara kekeluargaan setelah polisi memanggil orang tua pelaku dan korban. ""Kami memfasilitasi kedua belah pihak untuk menyelesaikan permasalahannya. Alhamdulillah, saat ini anak-anak sudah kami pertemukan dengan orang tuanya,"" jelas Dwi. ""Orang tua daripada korban menginginkan agar kasus ini tidak dilanjutkan ke proses hukum selanjutnya, mengingat anak-anak ini masih sekolah semua. Sehingga orang tua dari korban meminta agar masalah ini diselesaikan secara kekeluargaan,"" pungkasnya.",Teman
"Ayah-Anak Bos Kuda Lumping Perkosa ABG Sumsel, Dibantu Istri-Anak Perempuan","Sabtu, 08 Jun 2024 13:45",https://news.detik.com/berita/d-7380787/ayah-anak-bos-kuda-lumping-perkosa-abg-sumsel-dibantu-istri-anak-perempuan,"Ayah-Anak Bos Kuda Lumping Perkosa ABG Sumsel, Dibantu Istri-Anak Perempuan. Seorang anak perempuan berusia 14 tahun menjadi korban pemerkosaan oleh satu keluarga di Musi Rawas, Sumatera Selatan (Sumsel). Korban diperkosa dengan iming-iming syarat menjadi anggota jaranan kuda lumping. Dilansir detikSumbagsel, Kasi Humas Polres Musi Rawas AKP Herdiansyah membenarkan peristiwa pemerkosaan tersebut. Saat ini sekeluarga yang terdiri atas empat orang tersebut sudah diamankan. ""Memang benar ada perkara tersebut, saat ini para tersangka yang melibatkan satu keluarga tersebut sudah kita tahan dan dilakukan penyidikan lebih lanjut,"" katanya, Jumat (7/6/2024). Herdi mengungkapkan para pelaku adalah Tumin (67) pemilik jaranan kuda kepang/kuda lamping sekaligus kepala rumah tangga, istrinya Tugirawarti alias Wati (38), anak perempuannya Desi Yunitasari alias Yuni (26), dan Bambang (20) anak keduanya.Herdi menjelaskan pemerkosaan tersebut bermula saat korban yang diajak oleh tersangka Yuni untuk masuk ke dalam kelompok jaranan kuda kepang yang dimiliki ayahnya. ""Pada bulan November 2023, Tersangka Tumin kemudian menyuruh korban untuk tidur di rumahnya sebagai syarat menjadi anggota jaranan kuda lumping,"" imbuh dia. Selanjutnya, sambung Herdi, korban diberi tempat tidur bersama tersangka Tumin dalam satu ruangan. Kemudian, sekitar dini hari, tersangka mencabuli korban.Keesokan harinya, tersangka Yuni dan Wati membujuk korban agar mau bersetubuh dengan iming-iming agar korban bertambah cantik. Keduanya juga mengancam korban akan dikeluarkan dari grup jaranan dan akan menyebarkan aib keluarganya bila menolak.Baca berita lengkapnya di sini.",Orang asing
"Viral Ibu Lecehkan Anak Kandung, KPAI Soroti Dampak ke Tumbuh Kembang Anak","Selasa, 04 Jun 2024 12:09",https://health.detik.com/berita-detikhealth/d-7373138/viral-ibu-lecehkan-anak-kandung-kpai-soroti-dampak-ke-tumbuh-kembang-anak,"Viral Ibu Lecehkan Anak Kandung, KPAI Soroti Dampak ke Tumbuh Kembang Anak. Baru-baru ini viral seorang ibu muda berinisial R (22) yang melakukan pelecehan terhadap anak kandungnya yang berusia lima tahun. R mengaku hal tersebut dilakukan lantaran disuruh seseorang yang dikenal di Facebook dan diiming-imingi uang Rp15 juta oleh pelaku tersebut. Dia juga mengaku diancam oleh pelaku dan akan disebarkan foto bugil R jika permintaannya tidak dituruti. Meski demikian, setelah video pelecehan dikirim, uang yang dijanjikan tak kunjung diterima R. Video pelecehan itu lantas tersebar viral di media sosial. R kini telah ditetapkan sebagai tersangka. ""Tersangka mencoba menghubungi pemilik akun Facebook Icha Shakila namun akun Facebook tersebut tidak dapat dihubungi dan juga tidak mengirim sejumlah uang yang telah dijanjikan sebelumnya,"" kata Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi kepada wartawan, Senin (3/6/2024). Komisioner Perlindungan Anak Indonesia (KPAI) Dian Sasmita mengatakan bahwa ia dan pihaknya sangat prihatin dengan kasus anak balita yang mengalami kekerasan seksual dan psikis dari ibunya. Hal ini, kata dia, bisa berdampak buruk pada balita tersebut."" Memori buruk tersebut akan melekat di otak anak dan dapat berpengaruh pada tumbuh kembangnya. Oleh karenanya, pemerintah daerah dengan dukungan tenaga profesional psikolog dan pekerja sosial wajib segera menyelamatkan ananda X dan melanjutkan dengan rangkaian intervensi yang optimal,"" ucapnya dalam keterangan resmi, dikutip Selasa (4/6).Berdasarkan Undang-Undang Perlindungan Anak, KPAI memiliki salah satu tugas untuk melaporkan pelanggaran hak anak kepada penegak hukum atau pihak berwajib. Atas kejadian ini, KPAI saat ini sedang berkoordinasi dengan Bareskrim Polri untuk memastikan penyelidikan yang menyeluruh dan komprehensif terkait kasus tersebut.Amanah Konvensi Hak Anak Pasal 39 berbunyi mewajibkan negara mengambil langkah-langkah rehabilitatif untuk mendorong pemulihan fisik dan psikis anak korban. Tentunya, pelaksanaan upaya tersebut dilakukan tanpa diskriminasi, mengutamakan kepentingan terbaik anak, kelangsungan hidup dan perkembangan maksimal harus dijamin, seta pandangan anak harus dihormati. Tentunya pelaksanaan pengasuhan positif menjadi tanggung jawab orang tua, namun dalam kasus ini terdapat kelalaian yang mengakibatkan anak menjadi korban kekerasan seksual dan psikis. Karena itu, diharapkan pengasuhan anak korban tersebut dapat dilakukan oleh keluarga terdekat untuk memberikan dukungan pemulihan psikis anak. KPAI sekaligus mengingatkan kepada pemerintah, pemda, dan masyarakat untuk mewujudkan lingkungan yang aman dan ramah untuk anak, baik di dalam atau di luar rumah. Dian juga menegaskan bahwa KPAI menghimbau masyarakat serta media-media baik cetak maupun elektronik untuk dapat menjaga anak-anak dengan tidak menyebarkan video anak korban karena melanggar Undang-Undang. ""Kami berharap dukungan yang lebih berspektif anak dengan menjaga agar hak-hak anak kita tidak terlanggar terutama dalam perlindungan atas identitas, demi tumbuh kembang anak yang maksimal, atas kasus ini juga KPAI menekankan hak anak korban untuk mendapatkan pemulihan yang optimal,"" kata Dian.",Keluarga
